case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
right,0.1,1.1407667729396265,1.1407667729396265,0.0,1.1407667710077283,1.1407667710077283,0.0,1.9318985435955366e-10,1.9318985435955366e-10,0.0,1.1407667710077283,1.1407667710077283,0.0,1.9318985435955366e-09,1.9318985435955366e-09,0.0
right,0.11,1.1568112177482186,1.1568112177482186,0.0,1.1568112144118354,1.1568112144118354,0.0,3.336382869734747e-10,3.336382869734747e-10,0.0,1.1568112144118354,1.1568112144118354,0.0,3.336382869734747e-09,3.336382869734747e-09,0.0
right,0.12,1.1732664696314612,1.1732664696314612,0.0,1.173266464099368,1.173266464099368,0.0,5.532093691907889e-10,5.532093691907889e-10,0.0,1.173266464099368,1.173266464099368,0.0,5.532093691907889e-09,5.532093691907889e-09,0.0
right,0.13,1.1901478966552603,1.1901478966552603,0.0,1.1901478877893885,1.1901478877893885,0.0,8.865871422097903e-10,8.865871422097903e-10,0.0,1.1901478877893885,1.1901478877893885,0.0,8.865871422097902e-09,8.865871422097902e-09,0.0
right,0.14,1.2074716274226445,1.2074716274226445,0.0,1.2074716136180115,1.2074716136180115,0.0,1.3804632574795675e-09,1.3804632574795675e-09,0.0,1.2074716136180115,1.2074716136180115,0.0,1.3804632574795675e-08,1.3804632574795675e-08,0.0
right,0.15,1.2252545981097955,1.2252545981097955,0.0,1.2252545771402987,1.2252545771402987,0.0,2.096949638203654e-09,2.096949638203654e-09,0.0,1.2252545771402987,1.2252545771402987,0.0,2.096949638203654e-08,2.096949638203654e-08,0.0
right,0.16,1.2435146030054358,1.2435146030054358,0.0,1.2435145718269973,1.2435145718269973,0.0,3.1178438573160796e-09,3.1178438573160796e-09,0.0,1.2435145718269973,1.2435145718269973,0.0,3.1178438573160795e-08,3.1178438573160795e-08,0.0
right,0.17,1.2622703488597162,1.2622703488597162,0.0,1.2622703033602278,1.2622703033602278,0.0,4.549948803658851e-09,4.549948803658851e-09,0.0,1.2622703033602278,1.2622703033602278,0.0,4.5499488036588514e-08,4.5499488036588514e-08,0.0
right,0.18,1.2815415133795451,1.2815415133795451,0.0,1.2815414480625915,1.2815414480625915,0.0,6.531695352814817e-09,6.531695352814817e-09,0.0,1.2815414480625915,1.2815414480625915,0.0,6.531695352814817e-08,6.531695352814817e-08,0.0
right,0.19,1.3013488082415732,1.3013488082415732,0.0,1.301348715827822,1.301348715827822,0.0,9.241375099040871e-09,9.241375099040871e-09,0.0,1.301348715827822,1.301348715827822,0.0,9.241375099040871e-08,9.241375099040871e-08,0.0
