case,phi,output,wage,capital_return,wage_bill,capital_income,regime,threshold_phi
equal_endowments,0.166,1.3829116374780117,1.3302123141610924,0.05269932331691923,1.3302123141610924,0.05269932331691923,region_1_labor_scarce,0.5
equal_endowments,0.167,1.385467553735359,1.3319340509046746,0.053533502830683984,1.3319340509046746,0.053533502830683984,region_1_labor_scarce,0.5
equal_endowments,0.168,1.3880252287465578,1.3336484742047408,0.05437675454181683,1.3336484742047408,0.05437675454181683,region_1_labor_scarce,0.5
equal_endowments,0.169,1.3905846295899722,1.3353554923841584,0.05522913720581376,1.3353554923841584,0.05522913720581376,region_1_labor_scarce,0.5
equal_endowments,0.17,1.3931457230426303,1.3370550133798662,0.056090709662764034,1.3370550133798662,0.056090709662764034,region_1_labor_scarce,0.5
equal_endowments,0.171,1.395708475579289,1.3387469447461153,0.056961530833173755,1.3387469447461153,0.056961530833173755,region_1_labor_scarce,0.5
equal_endowments,0.172,1.3982728533715154,1.3404311936577937,0.057841659713721676,1.3404311936577937,0.057841659713721676,region_1_labor_scarce,0.5
equal_endowments,0.173,1.4008388222867856,1.3421076669138385,0.058731155372947014,1.3421076669138385,0.058731155372947014,region_1_labor_scarce,0.5
equal_endowments,0.174,1.4034063478875927,1.3437762709407246,0.05963007694686809,1.3437762709407246,0.05963007694686809,region_1_labor_scarce,0.5
equal_endowments,0.175,1.40597539543058,1.3454369117960472,0.06053848363453288,1.3454369117960472,0.06053848363453288,region_1_labor_scarce,0.5
equal_endowments,0.176,1.4085459298656808,1.3470894951721815,0.06145643469349944,1.3470894951721815,0.06145643469349944,region_1_labor_scarce,0.5
equal_endowments,0.177,1.411117915835283,1.3487339264000353,0.06238398943524742,1.3487339264000353,0.06238398943524742,region_1_labor_scarce,0.5
equal_endowments,0.178,1.4136913176734032,1.350370110452884,0.06332120722051902,1.350370110452884,0.06332120722051902,region_1_labor_scarce,0.5
equal_endowments,0.179,1.4162660994048852,1.3519979519502952,0.06426814745459017,1.3519979519502952,0.06426814745459017,region_1_labor_scarce,0.5
equal_endowments,0.18,1.4188422247446082,1.3536173551621375,0.06522486958247062,1.3536173551621375,0.06522486958247062,region_1_labor_scarce,0.5
equal_endowments,0.181,1.421419657096722,1.3552282240126878,0.06619143308403391,1.3552282240126878,0.06619143308403391,region_1_labor_scarce,0.5
equal_endowments,0.182,1.4239983595538896,1.3568304620848146,0.06716789746907509,1.3568304620848146,0.06716789746907509,region_1_labor_scarce,0.5
equal_endowments,0.183,1.426578294896559,1.3584239726242613,0.06815432227229795,1.3584239726242613,0.06815432227229795,region_1_labor_scarce,0.5
equal_endowments,0.184,1.4291594255922435,1.3600086585440139,0.06915076704822982,1.3600086585440139,0.06915076704822982,region_1_labor_scarce,0.5
equal_endowments,0.185,1.4317417137948316,1.3615844224287665,0.07015729136606502,1.3615844224287665,0.07015729136606502,region_1_labor_scarce,0.5
equal_endowments,0.186,1.4343251213439052,1.3631511665394702,0.07117395480443514,1.3631511665394702,0.07117395480443514,region_1_labor_scarce,0.5
equal_endowments,0.187,1.4369096097640883,1.3647087928179804,0.07220081694610786,1.3647087928179804,0.07220081694610786,region_1_labor_scarce,0.5
equal_endowments,0.188,1.4394951402644063,1.3662572028917939,0.07323793737261211,1.3662572028917939,0.07323793737261211,region_1_labor_scarce,0.5
equal_endowments,0.189,1.442081673737674,1.367796298078883,0.07428537565879118,1.367796298078883,0.07428537565879118,region_1_labor_scarce,0.5
